Molecule_ChEMBLID;Smiles;Standard_Value
CHEMBL247737;CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(C)n[nH]c2-3)C(=O)O1;1200.0
CHEMBL150543;CCCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1;1500.0
CHEMBL251129;O=C(NC[C@H]1CN(c2ccc3c(c2)CCCc2c(-c4cc5ccccc5o4)n[nH]c2-3)C(=O)O1)c1cc2ccccc2o1;25000.0
CHEMBL124970;Cc1c(N2CCc3ccccc3C2)c(N)cc2c(=O)c(C(=O)O)cn(C3CC3)c12;3.58
CHEMBL252432;CN(C)CCNc1nc(NC2CCCCCC2)nc(NC23CC4CC(CC(C4)C2)C3)n1;7000.0
CHEMBL254501;CCCCN(CCCC)CCCNc1nc(NC23CC4CC(CC(C4)C2)C3)nc(NC23CC4CC(CC(C4)C2)C3)n1;39000.0
CHEMBL252821;CCCCN(CCCC)CCCNc1nc(NCC2CCCCC2)nc(NC23CC4CC(CC(C4)C2)C3)n1;5500.0
CHEMBL391345;CC(=O)NC[C@H]1CN(c2ccc3c(c2)CCCc2c(C(F)(F)F)n[nH]c2-3)C(=O)O1;1300.0
CHEMBL218788;C=C1C(=O)O[C@H]2[C@@H]3C(C)=CCC[C@@]3(C)CC[C@H]12;50000.0
CHEMBL298518;C(=C1c2ccccc2-c2ccccc21)C1CCCNC1;200000.0
CHEMBL271701;CCCCCCCC/C=C\CCCCCCCC(=O)NCc1ccc(C(=O)NO)cc1;42000.0
CHEMBL256033;O=C(Nc1ccc(Cl)cc1)C1=C(O)C(c2ccccc2)OC1=O;24000.0
CHEMBL268631;CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccc3)[C@H]2SC1.[Na+];20000.0
CHEMBL6231;CNn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21;6.3
CHEMBL62542;Nc1ccc(Cn2cnc(-c3ccsc3)c2)cc1;2030.0
CHEMBL219534;COc1c(-c2ccnc(C)c2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12;52300.0
CHEMBL8;O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O;61700.0
CHEMBL1835979;CC(C)=C[C@@H]1C[C@H](C)[C@H]2CC[C@H](C)c3c2c1c(C)c1nc(C)oc31;128.0
CHEMBL82825;CC1CC2N=C(N)N=C(N)C2CC1C;2100.0
CHEMBL150470;Cc1cc(Cl)ccc1NCc1cnc2nc(N)nc(N)c2c1C;0.19
